load_level,n_tasks,scheduler,miss_rate,miss_rate_std
low,30,fifo,0.1467,0.0618
low,30,round_robin,0.1467,0.0653
low,30,static_priority,0.1933,0.0327
low,30,edf,0.2133,0.0452
low,30,pq_deadline,0.1533,0.034
low,30,qos,0.18,0.0542
low,30,paes,0.2533,0.0805
medium,80,fifo,0.2125,0.0262
medium,80,round_robin,0.1825,0.0504
medium,80,static_priority,0.2,0.0316
medium,80,edf,0.2,0.0586
medium,80,pq_deadline,0.2,0.0481
medium,80,qos,0.17,0.0281
medium,80,paes,0.1775,0.0094
high,160,fifo,0.1737,0.0398
high,160,round_robin,0.2088,0.0332
high,160,static_priority,0.205,0.0254
high,160,edf,0.1925,0.0266
high,160,pq_deadline,0.1925,0.0165
high,160,qos,0.2012,0.0283
high,160,paes,0.1713,0.0353
extreme,300,fifo,0.1987,0.0256
extreme,300,round_robin,0.196,0.0125
extreme,300,static_priority,0.194,0.014
extreme,300,edf,0.2207,0.0068
extreme,300,pq_deadline,0.1893,0.0122
extreme,300,qos,0.216,0.0197
extreme,300,paes,0.1927,0.02
