load_level,n_tasks,scheduler,miss_rate,miss_rate_std
low,30,fifo,0.0333,0.0298
low,30,round_robin,0.0333,0.0298
low,30,static_priority,0.0133,0.0163
low,30,edf,0.0333,0.0211
low,30,pq_deadline,0.0067,0.0133
low,30,qos,0.02,0.04
low,30,paes,0.0533,0.0542
medium,80,fifo,0.0275,0.0122
medium,80,round_robin,0.0175,0.0187
medium,80,static_priority,0.025,0.0112
medium,80,edf,0.025,0.0112
medium,80,pq_deadline,0.03,0.0061
medium,80,qos,0.025,0.0137
medium,80,paes,0.0175,0.01
high,160,fifo,0.0213,0.014
high,160,round_robin,0.0212,0.0075
high,160,static_priority,0.0138,0.01
high,160,edf,0.025,0.0096
high,160,pq_deadline,0.0262,0.0127
high,160,qos,0.0275,0.0101
high,160,paes,0.0275,0.0085
extreme,300,fifo,0.0214,0.0093
extreme,300,round_robin,0.0167,0.0047
extreme,300,static_priority,0.0253,0.0078
extreme,300,edf,0.0207,0.0077
extreme,300,pq_deadline,0.022,0.008
extreme,300,qos,0.0207,0.0071
extreme,300,paes,0.0207,0.0025
